time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-04-06T06:18:16.610Z,37.002,136.668,14.2,4.4,m,8,108.8,,1.41,us,usp000f8uy,2014-11-07T01:32:07.376Z,"16 km NW of Hakui, Japan",earthquake,,21.7,,,reviewed,us,jma
2007-04-06T12:42:11.480Z,37.06,136.369,10,4.5,mwr,85,71.2,,0.98,us,usp000f8w1,2014-11-07T01:32:07.488Z,"41 km WNW of Hakui, Japan",earthquake,,0,,,reviewed,us,nied
2007-04-06T14:55:40.210Z,37.003,136.431,36.2,4.3,mb,33,75,,1.01,us,usp000f8wf,2014-11-07T01:32:07.817Z,"34 km WNW of Hakui, Japan",earthquake,,8.2,,12,reviewed,us,us
2007-04-11T13:11:57.520Z,37.074,136.427,8.2,4.1,mb,12,72.5,,,us,usp000f9es,2014-11-07T01:32:10.356Z,"38 km WNW of Hakui, Japan",earthquake,,,,1,reviewed,jma,us
2007-04-16T06:29:11.120Z,37.18,136.555,0.5,4,m,6,86.3,,,us,usp000f9uj,2014-11-07T01:32:12.582Z,"38 km NNW of Hakui, Japan",earthquake,,,,,reviewed,jma,jma
2007-04-26T02:30:39.430Z,37.149,136.844,45.3,3.9,m,7,122.4,,0.46,us,usp000famn,2014-11-07T01:32:17.239Z,"15 km NW of Nanao, Japan",earthquake,,19.4,,,reviewed,us,jma
2007-05-02T11:44:38.200Z,37.331,136.763,6.6,4.3,mwr,59,70,,,us,usp000fb2y,2014-11-07T01:32:22.881Z,"36 km NNW of Nanao, Japan",earthquake,,,,,reviewed,jma,nied
2007-05-04T16:11:17.020Z,37.001,136.423,35,4.3,mb,23,75.2,,0.82,us,usp000fb7v,2014-11-07T01:32:24.222Z,"34 km WNW of Hakui, Japan",earthquake,,,,4,reviewed,us,us
2007-05-10T17:12:27.130Z,37.075,136.651,10,4.3,mb,27,62.9,,1.64,us,usp000fbpn,2014-11-07T01:32:26.510Z,"24 km NNW of Hakui, Japan",earthquake,,,,7,reviewed,us,us
2007-05-12T04:42:48.220Z,37.158,136.58,31.7,4,mb,12,118.5,,0.93,us,usp000fbtu,2014-11-07T01:32:27.470Z,"35 km NNW of Hakui, Japan",earthquake,,38.6,,3,reviewed,us,us
2007-06-10T18:45:14.750Z,37.17,136.507,10,4.9,mwc,123,60.5,,0.88,us,usp000fdsh,2016-11-10T01:40:59.501Z,"40 km NW of Hakui, Japan",earthquake,,,,,reviewed,us,gcmt
2007-06-21T18:34:14.360Z,36.878,136.668,7.5,4.5,mwr,139,64.6,,,us,usp000fegv,2014-11-07T01:32:44.648Z,"10 km W of Hakui, Japan",earthquake,,,,,reviewed,jma,nied
2007-06-27T07:06:28.170Z,36.725,137.583,0,4.1,mb,9,118.2,,1.02,us,usp000feyb,2014-11-07T01:32:46.359Z,"18 km ESE of Uozu, Japan",earthquake,,16.4,,1,reviewed,us,us
2007-07-09T07:00:34.280Z,37.324,136.758,10,3.9,mwr,12,81.8,,,us,usp000ffu3,2014-11-07T01:32:55.858Z,"35 km NNW of Nanao, Japan",earthquake,,,,,reviewed,jma,nied
